Airline,Code,Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
Delta Airlines,DL,2020,1,82.17,82.01,82.11
Delta Airlines,DL,2020,2,84.34,78.08,82.09
Delta Airlines,DL,2020,3,51.83,60.37,54.34
Delta Airlines,DL,2020,4,17.05,36.28,19.55
Delta Airlines,DL,2020,5,36.82,30.98,35.93
Delta Airlines,DL,2020,6,48.76,34.22,46.2
Delta Airlines,DL,2020,7,42.24,31.94,40.29
Delta Airlines,DL,2020,8,41.93,31.88,39.85
Delta Airlines,DL,2020,9,45.56,29.98,41.99
Delta Airlines,DL,2020,10,46.36,,
Delta Airlines,DL,2020,11,42.5,,
Delta Airlines,DL,2020,12,42.8,,
Southwest,WN,2020,1,76.45,84.35,76.68
Southwest,WN,2020,2,78.84,85.5,79.03
Southwest,WN,2020,3,46.06,66.4,46.62
Southwest,WN,2020,4,7.81,,7.81
Southwest,WN,2020,5,29.93,,29.93
Southwest,WN,2020,6,49.54,,49.54
Southwest,WN,2020,7,42.61,43.48,42.62
Southwest,WN,2020,8,42.13,53.12,42.24
Southwest,WN,2020,9,51.47,52.24,51.48
Southwest,WN,2020,10,54.74,,
Southwest,WN,2020,11,47.9,,
Southwest,WN,2020,12,59.52,,
JetBlue,B6,2020,1,76.45,80.58,77.33
JetBlue,B6,2020,2,77.74,79.64,78.13
JetBlue,B6,2020,3,48.46,64.89,51.25
JetBlue,B6,2020,4,13.4,27.79,13.78
JetBlue,B6,2020,5,36.55,37.34,36.6
JetBlue,B6,2020,6,47.38,50.34,47.53
JetBlue,B6,2020,7,35.73,41.68,37.13
JetBlue,B6,2020,8,43.31,45.85,44.05
JetBlue,B6,2020,9,47.99,52.41,49.21
JetBlue,B6,2020,10,52.1,,
JetBlue,B6,2020,11,49.96,,
JetBlue,B6,2020,12,54.15,,
American,AA,2020,1,82.85,81.19,82.24
American,AA,2020,2,83.57,76.99,81.31
American,AA,2020,3,51.87,60.4,54.23
American,AA,2020,4,15.56,12.61,15.29
American,AA,2020,5,47.71,24.24,45.12
American,AA,2020,6,68.95,32.05,63.41
American,AA,2020,7,58.38,35.53,54.9
American,AA,2020,8,58.89,33.97,54.6
American,AA,2020,9,72.09,35.19,65.01
American,AA,2020,10,76.56,,
American,AA,2020,11,66.14,,
American,AA,2020,12,61.77,,
United,UA,2020,1,81.66,80.72,81.19
United,UA,2020,2,80.26,72.29,76.58
United,UA,2020,3,50.04,54.35,51.78
United,UA,2020,4,13.14,21.43,15.18
United,UA,2020,5,36.77,25.28,32.63
United,UA,2020,6,55.02,34.08,47.18
United,UA,2020,7,48.81,33.65,43.54
United,UA,2020,8,48.79,36.74,44.46
United,UA,2020,9,60.17,32.59,48.41
United,UA,2020,10,66.01,,
United,UA,2020,11,62.38,,
United,UA,2020,12,60.81,,
